id,mot,skill,knowl,auto,att,risk,affil,obj
0,economic,low,low,manual,opportunistic,low,individual,ICS
1,economic,low,low,manual,opportunistic,low,individual,credentials
2,economic,low,low,manual,opportunistic,low,individual,data
3,economic,low,low,manual,opportunistic,low,individual,availability
4,economic,low,low,manual,opportunistic,low,crime,ICS
5,economic,low,low,manual,opportunistic,low,crime,credentials
6,economic,low,low,manual,opportunistic,low,crime,data
7,economic,low,low,manual,opportunistic,low,crime,availability
8,economic,low,low,manual,opportunistic,low,insider,ICS
9,economic,low,low,manual,opportunistic,low,insider,credentials
10,economic,low,low,manual,opportunistic,low,insider,data
11,economic,low,low,manual,opportunistic,low,insider,availability
12,economic,low,low,manual,opportunistic,low,state,ICS
13,economic,low,low,manual,opportunistic,low,state,credentials
14,economic,low,low,manual,opportunistic,low,state,data
15,economic,low,low,manual,opportunistic,low,state,availability
16,economic,low,low,manual,opportunistic,medium,individual,ICS
17,economic,low,low,manual,opportunistic,medium,individual,credentials
18,economic,low,low,manual,opportunistic,medium,individual,data
19,economic,low,low,manual,opportunistic,medium,individual,availability
20,economic,low,low,manual,opportunistic,medium,crime,ICS
21,economic,low,low,manual,opportunistic,medium,crime,credentials
22,economic,low,low,manual,opportunistic,medium,crime,data
23,economic,low,low,manual,opportunistic,medium,crime,availability
24,economic,low,low,manual,opportunistic,medium,insider,ICS
25,economic,low,low,manual,opportunistic,medium,insider,credentials
26,economic,low,low,manual,opportunistic,medium,insider,data
27,economic,low,low,manual,opportunistic,medium,insider,availability
28,economic,low,low,manual,opportunistic,medium,state,ICS
29,economic,low,low,manual,opportunistic,medium,state,credentials
30,economic,low,low,manual,opportunistic,medium,state,data
31,economic,low,low,manual,opportunistic,medium,state,availability
32,economic,low,low,manual,opportunistic,high,individual,ICS
33,economic,low,low,manual,opportunistic,high,individual,credentials
34,economic,low,low,manual,opportunistic,high,individual,data
35,economic,low,low,manual,opportunistic,high,individual,availability
36,economic,low,low,manual,opportunistic,high,crime,ICS
37,economic,low,low,manual,opportunistic,high,crime,credentials
38,economic,low,low,manual,opportunistic,high,crime,data
39,economic,low,low,manual,opportunistic,high,crime,availability
40,economic,low,low,manual,opportunistic,high,insider,ICS
41,economic,low,low,manual,opportunistic,high,insider,credentials
42,economic,low,low,manual,opportunistic,high,insider,data
43,economic,low,low,manual,opportunistic,high,insider,availability
44,economic,low,low,manual,opportunistic,high,state,ICS
45,economic,low,low,manual,opportunistic,high,state,credentials
46,economic,low,low,manual,opportunistic,high,state,data
